en,cht,pos,description
the Uskheart,烏斯克之心,,
The Varnhold Vanishing,消失的瓦恩領,書名,冒險之路#33
The Verge,邊境省,地點,伊利森
The Vice,副城區,地點,艾格利安
the Watchers on the Hills,山丘守望者,,
The Water Palace,溫泉宮,地點,白王座
the Weeper’s Ordeal,泣淚者之試煉,,
The Well of Lies,謊言之井,地點,耐克斯
the Well Spider,井蛛,稱號,萊卡斯的稱號
the Whispering Vial,低語之瓶,稱號,皮利亞斯的稱號
The White Manor,白莊園,地點,布雷斡
The White Rider,白騎士,怪物,芭芭·雅伽的使者
The Wind and The Waves,風瀾,稱號,格茲雷的稱號
The Winding Way,崎嶇之路,地點,拉哈多姆
The Winged Rider,飛翼馭手,稱號,埃里格斯的稱號
The Winged Serpent,羽蛇,術語,哈羅牌
Theanor of Nisroch,尼斯羅切的西諾,,
Theater District,劇院區,地點,阿拉瑪斯
Theater Mortrescci,莫特雷斯奇劇,術語,切利亞斯血腥歌劇
Theater of the Real,仿真劇,活動,切利亞斯戲劇，主要演員會真死在舞台上
Thelassia Phandros,塞拉西婭·潘德羅斯,,
Thesing Umbero Ulvauno,迪辛·昂波諾·屋瓦納,人物,AP#26
Thessene,塞西恩,人物,AP#108
Thievery,盜竊子域,術語,牧師領域
Thievery Subdomain,盜竊子域,術語,牧師領域
Thieves’ Tools,盜賊工具,物品,
Thievesquarter,竊賊區,地點,
Thingmar,議事會,,
Thinlands,貧瘠之地,地點,河域諸國
Third Army of Exploration,第三探索軍團,組織,塔爾多
Third of the Manymen,眾生之三,稱號,艾勒米翁的稱號
Third spell lord,第三法術領主,稱號,艾巴薩羅姆
Thom,索姆,城市,河域諸國
Thorn River,荊棘河,地點,河域諸國
Thorn’s End,荊棘之末,地點,奇奧尼
Thorntown,荊棘區,地點,艾格利安
Thoska Isle,托斯卡島,地點,蒸氣之海
Thought,思想子域,術語,牧師領域
Thought Subdomain,思想子域,術語,牧師領域
Thoughtsense,感知思維,術語,通用怪物能力
Thousand Shields,千盾堡,地點,先知之家
Thousand Voices,千音森林,地點,河域諸國，也稱喘息森林
Thrall,家奴,,
Threatened Squares,威脅範圍,術語,
Three Bands Cooper,三條帶箍桶店,地點,長野鎮
Three Pines Ford,三松要塞,城市,終焉之牆
Three Steels Camp,三鋼營地,地點,切利亞斯
Three-Troll,三巨魔鎮,地點,
Threshold,天堂之門,位面,天堂的第一層
Thrice-Damned,三重詛咒,稱號,特魯恩家族的稱號
Throat-of-Nothingness,虛空喉舌,組織,古老的邪教團
Thron,斯戎,神祇,嚎叫王子，聖狼精魂，宗-庫松之父
Thronehold,王權省,地點,
Thronestep,王者階梯,城市,首都
Throw Anything,隨手投擲,專長,CRB
Throwing Axe,投斧,武器,CRB
Thrown,投擲,武器組,
Thrown Weapon,投擲武器,術語,
Thrune,特魯恩家族,組織,切利亞斯家族
Thrune Ascendancy,特魯恩王朝,稱號,特魯恩統治切利亞斯的時期
Thrune Bound Agent,特魯恩誓縛代理人,稱號,特魯恩代理人的一種
Thrune Loyal Agent,特魯恩忠實代理人,稱號,特魯恩代理人的一種
Thrune Square,特魯恩廣場,地點,艾格利安
Thrune Trusted Agent,特魯恩委託代理人,稱號,特魯恩代理人的一種
Thrune’s Chance,特魯恩之機遇,,
Thrushmoor,瑟拉什摩爾,城市,烏斯塔拉夫
Thryheim,瑟萊海姆,地點,伽爾特
Thumbtown,拇指區,地點,艾格利安
Thunder Steppes,雷電高原,地點,猛獁象大王之國
Thunderbird,雷鳥,怪物,B2
Thundering River,雷霆河,地點,林諾姆諸王國
Thunderscale Warrens,雷鱗巢,城市,狗頭人雷鱗部落（Thunderscale）的驻地
Thunderstone,爆雷石,物品,
Thurl,蘇爾,人名,妮若錫安的小隊長，在保衛戰之後失蹤
Thuryan,圖里安島,地點,切利亞斯
Thuvia,圖維亞,國家,
Thylacine,袋狼,動物,
Tian,天洲人,民族,
Tian,天洲的,,
Tian Xia,天夏,大陸,
Tian-Dan,丹族,民族,天洲人（丹族）
Tian-La,刺族,民族,天洲人（刺族）
Tian-Min,明族,民族,天洲人（明族）
Tian-Shu,舒族,民族,天洲人（舒族）
Tian-Sing,辛族,民族,天洲人（辛族）
Tichaim,提凱姆,地點,庫凱圖斯
Tiefling,魔裔,種族,
Tien,天洲語,語言,
Tiered Keep,四層塔要塞,地點,寒心城
Tiger,虎,動物,CRB
Tiger’s Eye Monastery,虎眼修道院,城市,紮摩誄
Tileavia Allamar,蒂利維亞·阿拉瑪,人物,地獄復仇AP#103
tiller,耕作人,術語,鈴花會黑話；分舵的領袖
Tiller’s Gum,耕作人口香糖,物品,煉金物品
Timbercrown,木冠,人物,AP#105
Timberfell,原木丘,地點,阿拉瑪斯
Time,時間,術語,位面特性專用詞彙；次數
Time Stop,時間停止,法術,CRB
Timeless,無時間,術語,位面特性專用詞彙
Timeless body,不老身軀,職業能力,
timeline,大事年表,術語,
Tin King Alley Tavern,錫王巷酒館,地點,
Tindertwig,火柴,物品,
Tiny,超小型,術語,體型
Tiny Hut,避難小屋,法術,CRB
Tira Ronnova,蒂拉·羅諾瓦,人物,瑪格尼瑪艾奧梅黛神廟大祭司
Tirakawhan,提拉卡瓦恩,國家,伽倫德
Tirchagac,迪查伽克,人物,巨魔水潭
Tireless Rage,不倦狂暴,職業能力,
Tiring Critical,疲倦重擊,專長,CRB
Titan Aspen,泰坦白楊,植物,地獄復仇AP#103
Tithing Step,階梯稅,物品,拉茲密安的稅法
Tiven’s Reed,提雯之笛,城市,卡塔佩什
Todora Navanya,托多拉·納瓦妮亞,人物,伊利森知名冒險者
Toil,苦役子域,術語,牧師領域
Toil Era,勞作時代,,
Toil Subdomain,苦役子域,術語,牧師領域
Toilday,辛之日,時間,星期二
Tolemaida River,托勒梅達河,地點,河域諸國
Tolguth,托古斯,地點,猛獁象大王之國
Tolomuk,托洛穆克,人物,懦夫與烏鴉
Tomarsulk River,托馬舒克河,地點,切利亞斯
Tomb of Emperors,諸皇之冢,地點,拉哈多姆
Tomb of the Thousand Tusks,千牙墓穴,地點,芒吉莽原
Tome of Horrors Complete,《完美恐怖卷冊》,書名,第三方
Tome of Horrors Complete,《完美恐怖卷冊》,書名,第三方資源書
Tongue of the Sun and Moon,天語通,職業能力,
Tongues,巧言術,法術,CRB
Tophet,托菲特,怪物,B3
Torag,托拉格,神祇,
Torch,火炬鎮,城市,紐梅利亞
Tore of Kostchtchie,科什迪克提凱的項圈,物品,神器
Torgorra Manyteeth,托戈拉「盛齒」,人物,地獄復仇AP#103
Tornado,龍卷風,災害,
Tornado,龍捲風,術語,風速
Torpin Harrowhart,托平·哈羅哈特,人物,AP#105
Tors of Levenies,利文尼斯岩山,地點,河域諸國
Torture,折磨子域,術語,牧師領域
Torture Subdomain,折磨子域,術語,牧師領域
Torvin Academy,托雯學院,建筑,
Tosk,托斯克,人物,AP#108
total cencealment,全隱蔽,術語,
Total Concealment,全隱蔽,術語,
total cover,全掩蔽,術語,
Total Defense,全防禦,術語,
Totem Spirit,圖騰精魂,術語,專長
Totra,托圖拉,城市,奧斯利昂
Touch,接觸,術語,法術描述
Touch Attack,接觸攻擊,術語,
Touch of Chaos,混亂之觸,領域能力,
Touch of Darkness,黑暗之觸,領域能力,
Touch of Destiny,命運之觸,職業能力,
Touch of Evil,邪惡之觸,領域能力,
Touch of Fatigue,疲乏之觸,法術,CRB
Touch of Glory,光榮之觸,領域能力,
Touch of Good,善良之觸,領域能力,
Touch of Idiocy,愚者之觸,法術,CRB
Touch of Law,守序之觸,領域能力,
Toughness,健壯,專長,CRB
Toulon Vidoc,托倫·維多克,人物,地獄騎士刑鞭騎士團執棒官
tourist attraction,旅遊景點,術語,城市屬性
Tourondel River,托倫戴爾河,地點,終焉之牆
Touvette,托維特,城市,河域諸國
Toval Golka,托瓦爾·高喀,人物,戈魯什金山矮人族長之子
Tower of Slant Shadows,影斜塔,地點,奈多
Tower Shield Proficiency,擅長塔盾,專長,CRB
Tower Valballus,瓦爾波拉斯高塔,地名,烏斯塔拉夫
Town of Redtooth,紅牙鎮,城市,伊利森
Track,追蹤,職業能力,
Track,追踪,術語,動物技巧
Trackless,無路,術語,大陸旅行術語
Trackless step,無蹤步,職業能力,
Trackless Storm,無蹤沙暴,地點,卡塔佩什
Trade,交易子域,術語,牧師領域
Trade Minister,商務長,稱號,艾巴薩羅姆的官職
Trade Prince,豪商巨賈,稱號,卡蒂亞實力強大的商人稱號
trade routes,貿易路線,術語,商路、商道
Trade Subdomain,交易子域,術語,牧師領域
Tragshi,特拉格希,人物,"精靈德魯伊草藥師（elven druid and herbalist）,毒劑師公會領袖"
trail,小徑,術語,大陸旅行術語
Tralayhi,特拉萊希,,
Trample,踐踏,術語,通用怪物能力
Transformation,轉變術,法術,CRB
Transitive Planes,過渡位面,術語,包含影界，靈界，星界
Transmutation,變化系,術語,
Transmutation School,變化學派,職業能力,
Transmutatum,蛻變日,時間,
Transmute Metal to Wood,化鐵為木,法術,CRB
Transmute Mud to Rock,化泥為石,法術,CRB
Transmute Rock to Mud,化石為泥,法術,CRB
Transmuter,變化師,術語,專精變化學派的法師
Transport via Plants,木遁術,法術,CRB
Trap Sense,陷阱感知,職業能力,
Trap Spotter,陷阱嗅覺,職業能力,
Trap the Soul,錮魂術,法術,CRB
trapfinding,尋找陷阱,職業能力,遊蕩者能力
Travel,旅行領域,術語,牧師領域
Travel Domain,旅行領域,術語,牧師領域
"traveling undercover scouts,",旅行的祕密尋訪者,組織,
Traxyla,特拉克希拉,人物,妖鬼婆，奪取了伽爾特政權
Treant,樹人,怪物,B1
Treasure,寶藏,術語,怪物圖鑑常用
Treat deadly wounds,醫治致命創傷,術語,醫療技能術語
Treat disease,醫治疾病,術語,醫療技能術語
Treat poison,醫治毒素,術語,醫療技能術語
Treaty of Egorian,艾格利安條約,,
Treaty of the Wildwood,叢林條約,物品,塔爾多
Tree Shape,樹化術,法術,CRB
Tree Stride,融身入林,法術,CRB
Treerazer,垂拉澤爾,怪物,恶魔，枯澤之主
Tregan,特萊甘,城市,伽爾特
Trellis,花棚,地點,長野鎮
Trelmarixian,崔瑪瑞克希安,神祇,天啟騎士 饑荒
Tremorsense,顫動感知,術語,通用怪物能力
Trepek Gorny,特雷佩克·戈爾尼,人物,特雷齊拉
Tretin Kurutska,特雷廷·庫魯茨卡,人物,白王座
Trezira,特雷齊拉,地點,陰冷邊區
Tri-Towers Yard,三重塔之庭,地點,艾巴薩羅姆的一所學院，在地震中毀滅，改名為陷落之庭
Triam,特里姆島,地點,西冠城
Triaxus,特里亞克薩斯,行星,漫遊者
Tribulation,特里布拉申,城市,塔爾多
Trick,技巧,術語,馴養動物術語
Trick Alley,詭計巷,地點,艾格利安
Trickery,詭術領域,術語,牧師領域
Trickery Domain,詭術領域,術語,牧師領域
trickster mage,騙子魔術師,怪物,NPC志
Trident,三叉戟,武器,CRB
Trident Coliseum,三叉戟鬥技場,地點,凍枯城
Trident Isle,三叉戟島,地點,凍枯城
Triela,崔耶拉,城市,安多安
Trilmsgitt Towers,崔爾姆斯吉特法師塔,地點,尼爾、菲吉和裘克·崔爾姆斯吉特三兄弟建造的三座法师塔
Trilochan,垂魯申,人物,三眼金龍；洛瓦古格之裔
trip,絆摔,術語,戰技
Triton,崔顿魚人,怪物,B2
Trium,特里姆島,地點,西冠城
Triumph,凱旋區,地點,艾格利安
Trivardum,特里瓦杜姆,地點,西冠城
troglodyte,戰蜥人,怪物,
troll,巨魔,怪物,
Trollfather,異端之主,稱號,西芙凱什的稱號
Trollfather,巨魔之父,稱號,烏可吉爾的稱號
Trollheim,特羅海姆,城市,林諾姆諸王國
Troop,部隊,術語,生物亞種
Tropical,熱帶,術語,怪物棲息地類型
Truan Iolavai,特魯安·艾奧拉維尼,人物,塔爾多探險家
Trudd,杜魯德,神祇,矮人神系
True Hoard,真寶部族,組織,尖叫森林的地精部落
true resurrection,完全復生術,法術,CRB
True Seeing,真知術,法術,CRB
True Strike,克敵機先,法術,CRB
Truemount bridge,忠騎橋,地點,西冠城
truespeech,巧言,術語,怪物能力
Trunau,圖納烏,城市,貝爾克澤恩
Trusted,委託者,稱號,特魯恩委託代理人的簡稱
truth maker,真相編造者,稱號,
Truthseekers,真相追尋者,組織,特魯恩家族內部的祕密派系
Tsviata,茨維亞塔,人物,達馬托普
tube worm,管狀蠕蟲,怪物,B6
Tulger River,圖爾格河,地點,芒吉莽原
Tulluk Clovenface,「殘面」圖魯克,人物,哈斯克達氏
Tumblefire,地滾火,災害,
Tumbling,翻滾,術語,
tuning fork,共鳴音叉,術語,
Turanian Hills,突雷尼丘陵,地點,切利亞斯
turn,回合,術語,
Turn Undead,驅散死靈,專長,CRB
Turtleback Ferry,龜背渡口,城市,烏斯塔拉夫
Turvanar River,特瓦納河,地點,圖維亞
Tusk Mountains,獠牙山脈,地點,貝爾克澤恩；猛獁象大王之國
twigjack,枝節妖,怪物,B2
Twilight Gate,暮門區,地點,卡塔佩什
Twilight Talons,暗爪,組織,安多安
Twingate,雙子門,城市,杜魯瑪教權國
Twisted Nail,曲趾氏族,組織,貝爾克澤恩
Two Hill,雙崗區,地點,白王座
Two Tree Island,雙樹島,地點,蒸氣之海
Two-Bladed sword,雙頭劍,武器,CRB
Two-Weapon Combat,雙武器格鬥,職業能力,遊俠流派
Two-Weapon Defense,雙武器防禦,專長,CRB
Two-Weapon Fighting,雙武器戰鬥,專長,CRB
Two-Weapon Rend,雙武器撕裂,專長,CRB
Twohill,雙崗區,地點,白王座
Tychus Groat,泰庫斯·格羅特,人物,AP#104
Tymon,泰莫恩,城市,河域諸國
Typhilipede,蝠蟲,怪物,AP#103
Tyrannous,專制號,物品,原皇家護衛艦（former imperial frigate）
Tyranny,暴政子域,術語,牧師領域
Tyranny Subdomain,暴政子域,術語,牧師領域
Tyrax“Blood-Bones”,『血骨』泰拉克斯,人物,海盜王（pirate-king）
Tzaarban,提澤班,地名,古格爾甘帝國的主要城市之一
Uaransaph,烏蘭薩夫,神祇,邪魔先驅
Uhorik the Witch-Painted,巫繪者烏霍里克,,
Ukorviak,烏科維亞克,,
Ukrammak,烏克拉馬克,人物,拉瑪什圖祭司
Ular Tangan,蛇舞,流派,毒牙修道會的獨特格鬥流派
Ulcazar,烏爾卡紮,地點,烏斯塔拉夫
Uldani Necropolis,烏丹尼大墓地,地點,圖維亞
Ulfen,烏爾芬,人物种,
Ulfen Guard,烏爾芬衛士,組織,塔爾多
Ulfen Shieldbearer,烏爾芬執盾手,組織,林諾姆諸王國
Ulizmila,烏麗茲米拉,人物,綠鬼婆
Ulkrostaz,烏克羅斯塔茲,人物,
Ullorth Ungin,烏洛斯·烏爾金,人物,半獸人強者，泰莫恩統治者，亡命徒議會中最有影響力的成員之一
Ultimate Campaign,《極限戰役》,書名,探索者角色扮演系列
Ultimate Combat,《極限戰鬥》,書名,探索者角色扮演系列
Ultimate Equipment,《極限寶具》,書名,探索者角色扮演系列
Ultimate Intrigue,《極限詭道》,書名,探索者角色扮演系列
Ultimate Magic,《極限魔法》,書名,探索者角色扮演系列
Ulunat,烏魯納特,怪物,洛瓦古格之裔
Ulvass,烏爾瓦斯,人物,林諾姆王
Ulwinnet,烏爾溫內特,人物,懦夫與烏鴉
Umberweb,棕網城,城市,幽暗之地
Umbrae-Token,暗影徽記,物品,烏斯克森林德魯伊的信物
Umbral Basin,本影谷地,地點,摩爾蘇恩
umbral dragon,影龍,怪物,
Umbral Embrace,陰影之擁,,
Umbral Leaves,《蔭影蔓蔓》,物品,宗-庫松的聖典
umbral shepherd,陰影牧者,怪物,
Umok,烏摩克,城市,侏儒的居民區，依斯嘉
Unarmed Attack,徒手攻擊,術語,
Unarmed Strike,徒手打擊,術語,
Unbinding the Fetters,《突破束縛》,物品,義洛理的聖典
Unbreakable Heart,不屈之心,法術,
Uncanny Dodge,直覺閃避,職業能力,
Unconscious,失去意識，昏迷,術語,
Undarin,安達林,城市,世界之傷
Undead,不死生物,術語,生物類型
Undead,亡靈子域,術語,牧師領域
Undead,亡靈血統,職業能力,
undead mastery,亡靈掌控,術語,怪物能力
Undead Subdomain,亡靈子域,術語,牧師領域
Undead Traits,不死特性,術語,通用怪物能力
Undead Unleashed,《亡靈狂潮》,書名,UU
Undeath to Death,亡靈歸亡,法術,CRB
Undercommon,地底通用語,语言,
Underdunes,沙壑,地點,奧斯利昂的沙漠
Underground,地底,術語,怪物棲息地類型
Underground,地下,術語,遊俠地形
Undersized Weapons,小號武器,術語,通用怪物能力
Undervale,谷下驛站,,
Undetectable Alignment,隱匿陣營,法術,CRB
undine,水元素裔,種族,
unearthly grace,超凡優雅,怪物能力,
Unexpected Strike,暴起發難,狂暴之力,
Unfettered Phantom,無羈魅影,生物,B5
Unfriendly,不友善,術語,
unhallow,邪居,法術,CRB
Unholy,穢邪,武器附魔,
Unholy Aura,穢邪靈光,法術,CRB
Unholy Blight,邪影擊,法術,CRB
unholy energy,穢邪能量,術語,邪惡的能量
unholy site,聖地,術語,城市屬性(邪神專用)
uniila devil,尤尼拉魔,怪物,AP#28; 陰謀魔
Unity,團結一心,領域能力,
Universalist,通才法師,術語,不專精任何學派的法師
Universalist School,通用學派,職業能力,
Unlimited,無限,術語,法術範圍
Unnatural Aura,反自然靈光,術語,通用怪物能力
Unseat,落馬擊,專長,CRB
Unseen Servant,隱形僕役,法術,CRB
Untouchable Opal,不可觸摸的蛋白石,物品,
Unusual Anatomy,異常構造,職業能力,
Upper Korir River,上庫瑞爾河,地點,芒吉莽原
Upper Planes,上層位面,術語,
Uraeus,雙頭翼蛇,怪物,B5
Urban,都市,術語,地形
urdefhan,透肌魔人,怪物,
Urgathoa,厄迦圖婭,神祇,
Urgir,烏爾吉爾堡,城市,貝爾克澤恩
Urglin,烏爾格林,城市,瓦瑞西亞
Urgo Axbiter,烏格·阿克斯拜特酋長,人物,
Urgraz,烏爾格拉茲,人物,地獄復仇預設人物
Urgrin,烏格林,人物,
"Urgrosh, dwarven",矮人矛斧,武器,
Uringen,烏利根,城市,河域諸國
Urion Petresky,烏里昂·佩特列斯基,人物,白王座
Uro Adom,烏洛·阿多姆,人物,地獄騎士鎖鏈騎士團執棒官
Ursion Salisfer,烏爾遜·薩利斯弗,人物,AP#108
Urumi,鞭劍,物品,武器
Urxehl,烏可吉爾,神祇,惡魔領主
Urzen,烏爾岑,人物,布雷斡國王
Usaro,烏薩羅,城市,猩猩大王的领地；芒吉莽原
Uscalin Lodge,烏斯卡林分部,組織,*维勒米斯的探索者分部
Use Magic Device,使用魔法裝置,術語,技能
Use-Activated Items,使用啟動型物品,術語,
Usher of the Apocalypse,災變開啟者,稱號,德斯卡利的稱號
Usij,烏西教,宗教,阿里曼的邪教
Usk Lake,烏斯克湖,地點,奈多
Usk River,烏斯克河,地點,奈多
Uskwood,烏斯克森林,地點,奈多
Ustalav,烏斯塔拉夫,國家,被濃霧和哥特式恐怖籠罩的國度
Ustradi River,烏斯特拉迪河,地點,阿肯斯塔大公國
Uta River,烏塔河,地點,拉哈多姆
Uthori Pass,烏索力關口,,
Uthori Steppes,烏索力大草原,,
Utopia,烏托邦,位面,GMG對軸心城的稱呼
Vaclav Konstantin,瓦茨拉夫·康斯坦汀,人物,阿特萬
Vadya Metanova,瓦迪亞·梅塔諾娃,人物,
Vaenane Harcatha,維納內·哈凱瑟,人物,
Vaide Atteran,瓦伊德·阿特倫,人物,阿特倫家族的家主
Vaishau Ruin,維夏遺蹟,地點,終焉之牆
Valani,瓦拉尼,神祇,至高天神使
Valas’s Gift,瓦拉斯的恩賜,城市,蒙蒂維
Valashmai,瓦拉蘇邁,地點,天夏
Valashmai Jungle,瓦拉蘇邁叢林,地點,天夏
Valashmai peninsula,瓦拉蘇邁半島,地點,天夏
Vale of Claws,利爪谷,地點,切利亞斯
Valenhall,瓦倫哈拉,地點,位於阿卡迪亞遠方的瓦倫哈拉
Valentyna,瓦倫蒂娜,人物,黑林鎮
Valeros,瓦萊洛斯,人物,預設戰士
Valhalla,瓦爾哈拉,地點,極樂原野別名，北歐神話
Valignus,維雷格內斯谷,地點,西冠城
Valislav Ordranti,瓦利斯拉夫·奧德蘭提,人物,
Valka Dagsdottir,瓦爾卡·達格斯多蒂爾,人物,黑爾根
Valkus Isle,瓦爾庫斯島,地點,耐克斯
valkyrie,女武神,怪物,B3
Valley of Fire,火之谷,城市,布雷斡
Valn Orannt,瓦恩·奧蘭特,人物,地獄復仇AP#103
Valnica Sivanshin,瓦爾尼卡·希宛塞恩,,
Valor’s Fastness,英勇壁壘,地點,坎塔瑞亞
Valten,瓦爾屯,地名,依斯嘉的小鎮，在杜魯瑪邊境附近
Vampire Queen,吸血鬼女王,稱號,祖拉的稱號(帶The)
vampires,吸血鬼,怪物,複數形式
vampiric mist,吸血霧魔,怪物,B2
Vanak Usztony,瓦纳克·乌兹托尼,人物,延薩
Vanara,靈猴裔,術語,生物亞種
Vandeot Harby,范迪特·哈比,人物,AP#108
Vaneo,府(大宅),稱號,切利亞斯貴族宅邸的稱呼
Vaneo Drovenge,德羅文奇府,地點,西冠城
Vaneo Gellintha,格林塔府,地點,艾格利安
Vaneo Kavalderic,卡瓦德里奇府,地點,艾格利安
Vaneo Melesiva,梅萊西瓦府,地點,艾格利安
Vangloris,范戈洛瑞絲,術語,瓦瑞西亞語中的幻術系
Vanishing,消失,事件,布雷斡羅加維亞家族集體消失事件
Vanji River,萬吉河,地點,芒吉莽原
Vantian,萬提安,城市,深淵，開放之城(City of Open Windows)
Vapula,瓦普拉,人物,煉獄大公
Varisia,瓦瑞西亞,國家,
Varisian,瓦瑞西亞人,,
Varisian,瓦瑞西亞語,,
Varisian Gulf,瓦瑞西亞灣,地點,瓦瑞西亞
Varisian Run,瓦瑞西亞之行,商路,
Varisian Tattoo,瓦瑞西亞刺青,術語,專長
Varki,瓦爾基人,民族,
Varkus Korgarder,瓦庫斯·科爾加德,人物,AP#108
Varnhold,瓦恩領,地點,擁王者
Varno,瓦爾諾,地點,烏斯塔拉夫
Vastborough,廣區,地點,
Vasterborg,瓦斯特堡,地點,
Vasterborg Run,瓦堡幫,組織,
Vasthuri,瓦什圖,稱號,拉瑪什圖的惡魔衛士
Vasuman Mihir,沃斯萬·米希爾,人物,帕迪斯喀的冒险隊長
Vault Builder,穹窿建造者,組織,幽暗之地
Vault Keepers,穹窿守護者,組織,
Vault of Correction,懲戒寶庫,地點,天堂
Vault of Lies,謊言文庫,建筑,
Vault of Silver and Ice,銀冰寶庫,城市,伊利森
Vauntil,翁提爾,城市,烏斯塔拉夫
Ved,維德巨人,怪物,
Vedie,維迪爾,人物,塞恩蕾的女祭司 索爾庫的建立者
Veedesha,維德莎,城市,紮摩誄
Vegepygmy,孢子人,怪物,B1
Veil,隱匿之紗,法術,CRB
Veil of Frozen Tears,冰淚之紗,地點,伊利森
veil structure,神祕儀式,,
veiled master,蒙面大師,稱號,底棲魔魚族中的強大統治者
Velashu River,維拉舒河,地點,瓦瑞西亞
Velashu Uplands,維拉舒高地,地點,瓦瑞西亞
Veldraine,維爾德林,城市,瓦瑞西亞
Veldrid Goldborough,維爾德里德·金鎮,人物,
Velecia Nora,貝萊西亞·諾拉,地點,
Velenne Thrune,維倫娜·特魯恩,人物,
Vellumis,維魯米斯,城市,终焉之墙
Velmarius Elazarin,維爾馬里烏斯·依拉扎林,人物,《NPC指南》，Pazio員工Jason Bulmahn的人物
Velna Elishky,維爾納·埃利什基,人物,
Velociraptor,迅猛龍,動物,CRB
Vendetta,仇殺,物品,切利亞斯退役巡洋艦
venerable,暮年,術語,年齡段
Venicaan College,維妮肯學院,建筑,藥物手術學院，卡希爾最好的學院
Venom,毒液子域,術語,牧師領域
Venom immunity,毒素免疫,職業能力,
Venom Maw,劇毒咽喉,職業能力,
Venom Subdomain,毒液子域,術語,牧師領域
Ventriloquism,腹語術,法術,CRB
Venture-Captain,冒險隊長,稱號,探索者協會职位
Verbal,言语,術語,法術的施放成分；縮寫 V
Verbal Component,言语成分,術語,法術的施放成分；縮寫 V
Verces,沃賽斯,地點,格拉利昂星系第五行星
Verduran Forest,維杜蘭森林,地點,塔爾多
Verduran Fork,維杜蘭岔流,地點,塔爾多
Vergan Forest,維岡森林,地點,拉茲密安
Verikas Wealwood,維里卡斯·維爾伍德,人物,AP#107
Vermin,蟲類,術語,生物類型
vermin repellent,驅蟲劑,物品,煉金物品
Vermin Shape I,蟲類形態Ⅰ,術語,法術
Vermin Shape II,蟲類形態Ⅱ,術語,法術
Vernai,渥娜依,組織,紅螳螂組織裡高級殺手組成的議會
Versatile Performance,觸類旁通,職業能力,
Versex,維塞克斯,地點,烏斯塔拉夫
very hot conditions,炎熱環境,術語,
Veshtak,維斯塔克,地點,
Veskaya Hill,維斯卡亞山,地點,白王座
veteran buccaneers,資深海賊,,怪物
Vevelor,維沃若,神祇,鏈魔喧主
Veznagazraden,維茲納加茲拉登,怪物,白龍
Vhatsuntide River,瓦特蘇泰德河,地點,烏斯塔拉夫
Vicarius,執書官,稱號,地獄騎士團的一位學者型領導者
Vicelli Gedraedius,維切利·格德雷迪烏斯,人物,AP#105
Victory of the Hellknights,地獄騎士的勝利,物品,切利亞斯歌劇
Vidlof Haradsson,維德洛夫·哈拉德松,人物,
Viedman Linclair,維德曼·林克萊爾,人物,地獄復仇AP#103
Vieland,維蘭德,地點,烏斯塔拉夫
Vigil,警醒城,城市,終焉之牆的首都
vigilante,俠客,職業,
Viglund Lyubienko,維格倫德·柳邊科,人物,達馬托普
Vigorous Motion,強烈顛簸,術語,
Vigrahin Patitraka,《戰神書》,物品,
Viking,維京,組織,
Viking,維京人,,
Viktor Skave,維克多·斯卡夫,人物,AP#104
vilderavn,黑鸦爵,,
vilderravn,黑鴉爵,,
Vilkoma Gate,威爾科馬門,地點,
Vilkoma Quarter,威爾科馬區,地點,
village,村鎮,術語,城市規模
Village of Voices,天籟之鄉,城市,希娜利亞
Vilma Lochnik,維爾瑪·洛克尼克,人物,羅德
Violent Motion,劇烈顛簸,術語,
Violent Weather,惡劣天氣,術語,
Viona Kadarius,維奧娜·卡達利烏斯,人物,AP#105
Viper,毒蛇,怪物,B1
Viperwall,毒蛇之牆,城市,瓦瑞西亞
Vira,莊園,稱號,切利亞斯貴族莊園的稱呼
Virexia,維熱西亞,,
Virholt,維霍爾特,地點,烏斯塔拉夫
Viridian Crown,薇莉蒂安皇冠,物品,
Viridian Forge,青翠鑄造廠,,
Virihane of Pangolais,帕格萊斯的維尼翰,,
Virlych,維利奇,地點,烏斯塔拉夫；原維霍爾特（Virholt）和格羅德利奇（Grodlych）伯爵領
Virtue,恩賜,法術,CRB
Visceroth,維切洛斯,,
Vische,維斯切,城市,烏斯塔拉夫
Vishkanya,蝮血裔/蝮血裔語,術語,生物亞種
Vision,高瞻使者,稱號,拉茲密爾教派第十五階
Vision,靈視,法術,CRB
Vision of Lamashtu,拉瑪什圖的幻景,術語,法術
Vision of Madness,瘋狂幻象,領域能力,
Viskanovich Bridge,維斯卡諾維奇橋,地點,
Visperthul,維斯帕蘇爾,怪物,魔鬼
Vistear River,維斯提爾河,地點,烏斯塔拉夫
Vital Strike,要害打擊,專長,CRB
vivisectionist cleric,活體解剖牧師,怪物,NPC志
vivisectionsist cleric,解剖者牧師,,
Vlad Omelinsky,弗拉德·奧梅林斯基,人物,
Vlad Petrabovny,弗拉德·彼得拉博尼,人物,希望之夏
Vlasko the Fang,「尖牙」弗拉斯科,人物,AP#106
Voice in Flames,烈火傳音,能力,摩洛克神恩
Void,虛空,地點,負能量位面的別名(帶The)
Void Domain,虛空領域,術語,牧師領域
Voidwalker,虛空行者,術語,特異能力
Vokadus Fex,沃卡杜斯·費克斯,人物,AP#106
Volfast Raven-Banner,沃爾法斯·鴉旗,人物,
